,precision,recall,f1-score,support
0,0.971830985915493,1.0,0.9857142857142858,69.0
1,0.7571428571428571,0.7794117647058824,0.7681159420289855,68.0
2,0.7428571428571429,0.7536231884057971,0.7482014388489209,69.0
3,0.8333333333333334,0.8461538461538461,0.8396946564885496,65.0
4,0.864406779661017,0.7846153846153846,0.8225806451612904,65.0
5,0.8405797101449275,0.8787878787878788,0.8592592592592593,66.0
6,1.0,0.7857142857142857,0.88,28.0
7,1.0,0.9523809523809523,0.975609756097561,21.0
8,0.9545454545454546,1.0,0.9767441860465116,21.0
9,0.8108108108108109,0.8695652173913043,0.8391608391608392,69.0
10,0.9253731343283582,0.8985507246376812,0.9117647058823529,69.0
accuracy,0.8573770491803279,0.8573770491803279,0.8573770491803279,0.8573770491803279
macro avg,0.8818982007944904,0.8680730220720921,0.8733496104262323,610.0
weighted avg,0.8597913281070185,0.8573770491803279,0.8575153609248996,610.0
AUC,0.9866,0.9866,0.9866,0.9866
